date,total_away_points,total_home_points,num_games,avg_points_per_game
11/03/2025,10842,15353,169,155
11/04/2025,2226,3209,36,150.97222222222223
11/05/2025,2019,3195,35,148.97142857142856
11/06/2025,2803,4002,44,154.6590909090909
11/07/2025,5130,6542,76,153.57894736842104
11/08/2025,4790,5932,68,157.6764705882353
11/09/2025,2325,2931,34,154.58823529411765
11/10/2025,2567,3617,40,154.6
11/11/2025,5654,6981,82,154.08536585365854
11/12/2025,3546,4711,54,152.90740740740742
11/13/2025,1742,2212,26,152.07692307692307
11/14/2025,3454,4068,50,150.44
11/15/2025,5903,6788,82,154.76829268292684
11/16/2025,2481,2739,34,153.52941176470588
11/17/2025,2218,2962,34,152.35294117647058
11/18/2025,4633,5766,68,152.9264705882353
11/19/2025,3446,4057,50,150.06
11/20/2025,2674,3275,38,156.55263157894737
11/21/2025,4995,5825,73,148.21917808219175
11/22/2025,3166,3787,45,154.51111111111112
11/23/2025,3097,3446,43,152.1627906976744
11/24/2025,4509,4871,62,151.29032258064515
11/25/2025,5716,6178,78,152.48717948717947
11/26/2025,5047,5634,72,148.34722222222223
11/27/2025,1501,1520,20,151.05
11/28/2025,3992,4461,58,145.74137931034485
11/29/2025,4426,5566,67,149.13432835820896
11/30/2025,2310,2497,33,145.66666666666666
12/01/2025,1161,1554,18,150.83333333333334
12/02/2025,4100,4692,58,151.58620689655172
12/03/2025,5401,6447,78,151.89743589743588
12/04/2025,737,919,11,150.54545454545453
12/05/2025,1384,1683,21,146.04761904761904
12/06/2025,8252,9250,116,150.8793103448276
